卷名,章节名,type,tag,summary,core
燕山纪氏,地府,设定展开 | 人物引入,人物、设定,纪宁前世于地球病逝，魂魄至地府受审。崔府君审视纪宁前世因果，赐其一卷《女娲图》——凝练魂魄的至高法门，随后安排投胎。纪宁带着前世记忆和女娲图转世。,纪宁前世病逝与女娲图获取，全书修炼根基的起点。
燕山纪氏,投胎,设定展开 | 环境铺陈,设定,纪宁魂魄投胎至燕山大地的纪氏西府，父亲纪一川、母亲尉迟雪。交代燕山纪氏五府格局和修仙者世界的背景设定。,投胎燕山纪氏西府，家族背景与世界观初建。
燕山纪氏,降生,环境铺陈 | 人物引入,人物、设定,纪宁降生于纪氏西府城，自幼展现超常天赋。描写纪氏西府城的环境、纪宁幼年的成长氛围，以及父母对长子的期盼。,纪宁幼年天赋初显，成长环境铺陈。
燕山纪氏,府主,人物引入 | 设定展开,人物、设定,纪一川身为纪氏西府府主，实力深不可测但从不使用入阶法宝（伏笔：紫府萎缩仙路已断）。纪一川开始教导纪宁基础修炼，展现父亲的深沉与严苛。,纪一川隐藏实力伏笔埋设，父子修炼传承开始。
燕山纪氏,纪氏,设定展开 | 环境铺陈,设定,系统介绍纪氏五府（西府、宗府、北府、东府、南府）的格局与关系，各府实力对比，以及纪氏在大夏王朝安澶郡燕山大地上的地位。,纪氏五府格局与大夏王朝天下体系展开。
燕山纪氏,修仙路,设定展开 | 人物心理,情感、设定,纪宁正式踏上修仙之路。纪一川为纪宁选择神魔炼体路线，介绍炼体与炼气两大修炼流派的区别与优劣。纪宁立志走神魔炼体之路。,修炼流派选择，神魔炼体路线确立。
燕山纪氏,《赤明九天图》,设定展开 | 悟道,修炼、设定、爽点,纪宁开始修炼纪氏镇族绝学《赤明九天图》——神魔炼体第一法门，共九重境界。纪宁凭前世理科思维和今生强大神魂，修炼速度远超常人。,赤明九天图修炼体系确立，纪宁天赋展示。
燕山纪氏,一手太阴，一手太阳,悟道 | 设定展开,修炼、设定、爽点,"纪宁修炼赤明九天图达到""一手太阴一手太阳""境界，双手分别凝聚太阴之力和太阳之力。这一突破标志着纪宁在炼体之路上展现出惊人天赋。",太阴太阳之力凝聚，炼体天赋里程碑。
燕山纪氏,弓箭,设定展开 | 人物引入,人物、设定,纪宁学习箭术，师傅蒙鱼（纪氏第一神箭手）登场。蒙鱼手把手传授箭术，纪宁展现出过人悟性。蒙鱼的形象为后续被师尊抓捕埋下情感伏笔。,蒙鱼人物引入，箭术传承与后续情感伏笔。
燕山纪氏,步法,设定展开 | 悟道,修炼、设定、爽点,纪宁修炼尉迟氏家传《风翼遁法》，初窥身法门径。风翼遁法源自舅舅尉迟山一脉，为后续舅舅牺牲和复仇线埋下伏笔。,风翼遁法修炼开始，舅舅尉迟山复仇线伏笔。
燕山纪氏,练剑,悟道 | 设定展开,修炼、设定、爽点,纪宁开始系统练剑，修炼《滴水经》剑法。纪宁以水滴石穿的理念参悟剑道，五年苦练打下扎实根基。,滴水经剑法修炼启动，水滴石穿理念确立。
燕山纪氏,六年,悟道 | 人物心理,修炼、情感、爽点,"六年苦修后纪宁达到""人剑合一""境界，剑法与身法融为一体的初步成就。纪宁从幼童成长为少年，心性也日渐沉稳。",六年苦修达成人剑合一，心性成长。
燕山纪氏,五大剑法,设定展开 | 悟道,修炼、设定、爽点,系统介绍纪氏五大剑法：《滴水经》《雷火剑残编》《清风剑》《烈火剑》《万剑曲》。纪宁主修滴水经，兼修其他剑法拓宽眼界。,五大剑法体系完整展开，修炼方向多元化。
燕山纪氏,困笼,设定展开 | 人物心理,情感、设定,"纪一川以""困笼""之法训练纪宁——在狭小空间内逼迫纪宁发挥极限战力。纪宁在困笼中承受巨大压力，磨砺战斗本能和意志力。",困笼训练法，战斗本能磨砺。
燕山纪氏,困笼之战,战斗描写 | 爽点设置,战斗、爽点,纪宁在困笼中与妖兽实战，展现出超乎年龄的战斗素养。以水火之力联合御敌，初次展露先天级别战斗潜力的冰山一角。,困笼实战首秀，水火联合战斗潜力展示。
