卷名,章节名,type,tag,summary,core
秘技三秋叶,孟川和云青萍,人物引入、环境铺陈,人物、设定,"大周王朝吴州东宁府，镜湖道院山水楼弟子、十五岁的孟川婉拒未婚妻云青萍的东山游玩之约，潜心备战玉阳宫斩妖盛会。归家后与青梅竹马柳七月切磋弓刀，柳七月以""七星连珠箭""击败孟川。另一边，云青萍向父亲云符安抱怨孟川木讷，请求解除婚约，遭云符安严厉训斥——点明这桩婚事是云家借孟家千年根基巩固地位的家族联姻，云家定居东宁府仅数十年根基尚浅，若云青萍越规将""清理门户""。云青萍首次见识父亲冰冷一面。",孟川、柳七月、云青萍、云符安等核心人物登场，孟云两家婚约矛盾及家族利益背景铺陈。
秘技三秋叶,"学其上,仅得其中",设定展开、悟道,修炼、设定、爽点,"详述凡俗修炼五重境界（筑基、内炼、洗髓、脱胎、无漏）及刀法两大境界（合一境、势），孟川刀法《落叶刀》大成两年却卡在合一境门槛，悟出秘技方可突破。父亲孟大江（无漏境、悟出刀势）鼓励他多练。教谕马教谕怒斥弟子""学其上，仅得其中""，令孟川顿悟——应向历史上最强的神魔学。他命仆人购齐市面神魔传记及大家族家训，从邓风""每日拔刀万次、拔刀二十年""的记载中受启发，开始从传记中提炼神魔强大的共同点。","凡俗修炼体系与刀法境界设定展开，孟川""学其上""的修行理念确立。"
秘技三秋叶,匠人和宗师,悟道、设定展开,修炼、设定、爽点,"孟川五天整合神魔传记与家训，归纳出""修行九条""：基础重要、次数重要（每日万遍）、一招鲜吃遍天、匠人与宗师之别（唯有享受痴迷方成宗师）等。他意识到自己过去""咬牙苦撑""只是匠人，心态转变后全身心沉浸于落叶刀第一式""拔刀式""，感受刀出鞘的悄无声息与破风之美，热情苏醒。同时，云家地下大殿中，云家老祖（黑发老者）告知云符安：孟家孟仙姑于安海关重伤将死，令其去孟家解除孟川与云青萍的婚约，""如今的孟家不配和我们联姻""。云青萍得知后惊愕。","孟川悟出""修行九条""完成心态蜕变；孟仙姑重伤消息致云家决定解除婚约，孟家衰落伏笔埋设。"
秘技三秋叶,这是好事,情节推进、人物心理,情感,"孟川在书房画画（自幼爱好，母亲所传），回忆六岁妖族浩劫中母亲去世。孟大江带孟川前往孟家祖宅，云符安单独前来当场撕毁婚书，孟家众长老虽怒却隐忍。孟川敏锐察觉三大疑点：云家仅派最弱的云符安前来、长老们反常隐忍、云符安反常放肆，推断背后原因""要么云家傍上大靠山，要么是孟家出了事""。归家后孟川告知柳七月婚约解除，坦言""这是好事""。",婚约正式解除，孟川展现超出年龄的洞察力，孟家隐忍暗示家族危机。
秘技三秋叶,老祖宗归来,人物引入、转折高潮,人物、高潮,"二月初九，重伤的孟仙姑由神魔友人黄香凝（驾驭雷霆飞禽）送回东宁府，以隐匿波纹之术潜入孟家祖宅，唯族长孟炎平（其亲弟）可见。孟仙姑今年一百一十二岁，三十五岁成神魔，庇护孟家近八十年。她召集众长老于烈火大殿，询问年轻一代有望成神魔的苗子——孟大江四十七岁未凝丹希望渺茫，孟铸二十三岁悟秘技太晚，孟文英十六岁、孟川十五岁却都未悟秘技。孟仙姑下令全力加大培养全族小辈，""在我死之前，我要看到一个有望成为神魔的苗子""。",孟家擎天柱孟仙姑重伤归来，家族面临神魔断层危机，开启全力栽培后辈的序幕。
秘技三秋叶,倾力栽培,设定展开、情节推进,设定,"孟家祖宅向二十岁以下两千余族人发放十倍于以往的丹药银两资源，不惜代价栽培十年。孟大江为孟川配备八位洗髓境、三位脱胎境专门陪练，并每月请六位无漏境强者轮流每日陪练一个时辰。孟川心态转变后沉浸于落叶刀，发现八十一式美感可连成一气——招数如大石滚山越滚越快，若连成一体便可""自然而然""施展秘技。他日渐疯魔练刀，距合一境越来越近。",孟家倾力栽培孟川；孟川触及落叶刀八十一式连成一气的秘技门槛。
秘技三秋叶,镜湖道院的决选,转折高潮、爽点设置,爽点、高潮,"二月二十七，孟川终于悟出秘技""三秋叶""——身心技三者合一，身法刀法快且飘忽，施展时留下残影。他达到刀法第一重大境界""合一境""，激动回想六岁母亲为护他而死的妖族浩劫，立志成神魔。回忆东宁府第一天才梅元知十五岁悟秘技、二十岁悟""冰势""的标杆。次日道院决选名额，孟川与柳七月打赌（赢则七月做一个月晚饭，输则孟川交出骏马图）。孟川第一个上擂台，宣称""第一个名额就先归我了""。","孟川悟出秘技""三秋叶""达到合一境，成为有望神魔的绝世天才苗子。"
秘技三秋叶,秘技'三秋叶',爽点设置、转折高潮,爽点、高潮,"孟川在擂台以秘技""三秋叶""一招击败洗髓境十大弟子第一的白贯（双剑之术高手），刀放白贯脖颈，全场震惊。院长葛钰（东宁府第一快刀）手中酒坛摔碎，教谕们激动万分——镜湖道院出了十五岁掌握秘技的弟子。数千弟子沸腾，孟家子弟飞奔回祖宅报喜。葛钰令脱胎境圆满的大师兄吴琦上擂台与孟川交手。","孟川公开展现秘技""三秋叶""击败白贯，东宁府诞生十五岁绝世天才的消息传开。"
秘技三秋叶,神魔体,战斗描写、设定展开,战斗、设定,"孟川以洗髓境之身击败脱胎境圆满的吴琦（修炼""暗云魔体""、擅《两仪盾刀术》）。详述脱胎境修炼神魔体令凡人拥有部分神魔力量，力量速度远超洗髓境；秘技""三秋叶""令孟川爆发力量达吴琦七成、速度碾压，连续七刀破两仪盾刀术。吴琦认输，称孟川为镜湖道院当代大师兄。孟家子弟奔入祖宅高喊""孟川悟出秘技了""。玉阳宫主身后的白衣少年晏烬与老仆同行，听闻孟川之名，低声自语""孟川""。",孟川以洗髓境击败脱胎境圆满大师兄，成为道院第一；神秘白衣少年晏烬初次现身。
秘技三秋叶,家族的希望,情感展现、设定展开,情感、设定,"孟川悟秘技的消息传遍孟家祖宅，族人们激动奔走相告。三长老（光头干瘦老者）表面冷面内心欣慰。孟大江得知后""走路都飘着""。众长老齐聚孟仙姑处，孟仙姑冷静告诫：孟川仅跨出第一步，距成神魔还有""刀势、凝丹、生死关""三大门槛，且须二十岁前悟出刀势方有三分希望进入元初山（最古老修行之地，进则必成神魔）。孟仙姑以自身经历（十六岁悟秘技、二十二岁悟势、未能进元初山仅成外门弟子、历经九死一生）说明艰难，嘱孟大江接孟川备战斩妖盛会，勿过度吹捧。孟大江等长老至道院迎接孟川归家。",孟家上下因孟川悟秘技而重燃希望，孟仙姑点明成神魔三大门槛及元初山目标。
