book,unit,source_file,global_chapter,local_chapter,title,type,tags,summary,core,normalized_percent,action,conflict,climax,reward,breakthrough,cultivation,emotion,reveal,tension,pleasure
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,1,1,罗峰,人物介绍 | 世界观铺陈,人物、设定,介绍主角罗峰，18岁高三学生，住扬州城宜安区36平米廉租房。父亲罗洪国工厂工人，母亲龚心兰在家接零活，弟弟罗华双腿残疾坐轮椅。罗峰同时是极限武馆高级学员，实力809kg拳力、23.8m/s速度，远超准武者标准。大涅槃时期地球怪兽肆虐、基地市围墙保护的背景设定。,罗峰家庭背景与实力初展示，世界观的基调建立。,0.0,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,2,2,（无标题）,人物深化 | 伏笔埋设,伏笔,罗峰从小就经常头疼，多次昏迷送医查不出原因（实为精神念力觉醒的前兆伏笔）。弟弟罗华因幼年车祸双腿截肢，性格却开朗乐观，擅长炒股。罗峰在武馆训练的日常，与死党魏文的友情。,头疼病伏笔埋设，家庭关系深化。,0.06738544474393532,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,3,3,江南市,世界观铺陈 | 设定展开,设定,扬州城属于江南基地市管辖，基地市有防御怪兽的围墙和镭射系统。介绍大涅槃时期的历史——RR病毒导致全球灾难，动物变异为怪兽，人类退守基地市。洪和雷神两大超越战神级存在的传说。罗峰走在街道上感受基地市的安宁与荒野区方向的危险气息。,大涅槃历史背景、基地市防御体系、洪与雷神传说。,0.13477088948787064,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,4,4,罗峰的实力,设定展开 | 爽点设置,爽点、设定,极限武馆训练厅，罗峰进行拳力测试809kg、速度测试23.8m/s，均为高级学员顶尖水平。准武者标准为拳力900kg、速度25m/s。罗峰距离准武者只差一步。武馆学员等级体系：初级→中级→高级→准武者。教练邬通对罗峰寄予厚望。,武者等级体系设定，罗峰实力数据化展示。,0.20215633423180593,0,0,0,1,0,0,0,0,0.9,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,5,5,不同的选择,矛盾展现 | 人物心理,冲突、情感,罗峰面临高考与武者之路的选择矛盾。成绩优异可考好大学改变家庭命运，但武者拥有特权和更高收入。张昊白——同校富豪家庭的高级学员，实力不如罗峰却傲慢，嫉妒罗峰。罗峰立志先高考再考武者。,人生道路选择矛盾，张昊白对手线引入。,0.2695417789757413,0,1,0,0,0,0,1,0,2.4,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,6,6,高考,矛盾展现 | 情节推进,冲突,高考考场，罗峰考试途中突然剧烈头疼发作，心跳飙升至268次/分，被紧急送医。在昏迷中罗峰感觉脑袋炸裂，仿佛有什么东西在脑中苏醒。高考成绩受影响。张昊白在考场外冷笑。,高考昏迷事件——精神念力觉醒的导火索。,0.3369272237196766,0,1,0,0,0,0,0,0,1.8,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,7,7,最终成绩,矛盾展现 | 爽点反转,冲突、爽点,高考成绩公布，罗峰总分557分，差重点线4分落榜。然而罗峰发现自己实力暴涨——拳力从809kg飙升至1089kg，突破准武者标准。头疼昏迷后身体素质大幅提升的秘密。罗峰决定走武者之路。,落榜的挫折转为武者之路的契机，实力暴涨的爽点反转。,0.40431266846361186,0,1,0,1,1,0,0,1,4.1,3.1
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,8,8,两名武者,设定展开 | 情节推进,设定,罗峰在街头目睹两名武者飞行经过（踏物飞行），感受到武者的超凡力量。介绍武者在基地市的特权——乘坐专列、高额收入、社会地位。罗峰更加坚定武者之路。武者实战考核的报名条件。,武者特权展示，激发罗峰的决心。,0.4716981132075472,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,9,9,武者的特权,设定展开 | 世界观铺陈,设定,详细展开武者特权体系——武者证、贡献点、极限之家/雷电武馆商城、武者可出入荒野区猎杀怪兽赚钱。安全局管理武者纠纷。武者分为战士级、战将级、战神级三个大层次。精神念师概念首次被提及——极为稀有的特殊能力者。,武者体系完整设定，精神念师概念首次引入。,0.5390835579514826,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,10,10,准武者考核,爽点设置 | 情节推进,爽点,罗峰参加准武者考核，拳力测试1101kg、速度28.6m/s，远超准武者标准（900kg/25m/s），震惊考核官。罗峰正式获得准武者资格。考核中罗峰刻意隐藏了部分实力。,准武者考核通过的爽点，实力数据再次确认。,0.6064690026954178,0,0,0,1,0,0,0,0,0.9,2.7
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,11,11,神经反应速度,设定展开 | 伏笔深化,伏笔、设定,准武者考核中还有神经反应速度测试，罗峰的反应速度异常优秀，远超常人。罗峰自己隐约感觉与头疼昏迷有关，但不清楚原因。神经反应速度是武者实力的重要指标。,神经反应速度异常——精神念力觉醒的另一佐证。,0.6738544474393532,0,0,0,0,0,0,0,0,0.0,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,12,12,五心向天,悟道 | 设定展开,修炼、设定、爽点,"罗峰开始修炼基因原能导引术""五心向天""——头顶百会穴、双掌心、双脚心五处向天吸收宇宙能量。基因原能是武者突破身体极限的关键修炼法门。罗峰修炼时感觉脑中有什么在回应。",基因原能修炼体系设定，脑中暗金色圆球的伏笔深化。,0.7412398921832885,0,0,0,0,1,1,0,0,1.0,0.9
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,13,13,喜悦,情节推进 | 情感展现,情感,罗峰通过准武者考核的喜悦，与家人分享好消息。弟弟罗华炒股赚了一笔小钱。家庭虽贫困但温馨。罗峰准备参加正式武者实战考核。罗峰给弟弟转了一笔钱让他炒股。,家庭温馨，准武者向正式武者过渡。,0.8086253369272237,0,0,0,0,0,0,1,0,0.6,0.0
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,14,14,是你找死,矛盾爆发 | 爽点设置,冲突、爽点,"张昊白指使地头蛇周华阳，在罗峰父亲罗洪国工作的工厂闹事，罗洪国被欺辱。罗峰得知后暴怒，直接找到周华阳一伙人出手——以准武者实力轻松打翻数名混混。罗峰警告张昊白""是你找死""。",父亲被欺辱触发矛盾爆发，罗峰实力展示的爽点。,0.8760107816711591,0,1,0,1,0,0,0,0,2.7,2.2
吞噬星空,一夜觉醒,01_第一篇_一夜觉醒_大纲.md,15,15,我配合你们的工作,矛盾展现 | 情节推进,冲突,罗峰打人事件被安全局介入。因对方先挑衅且罗峰是准武者，安全局从轻处理。但张昊白家族施压，罗峰被短暂拘押至宜安区看守所。罗峰冷静配合调查。,安全局介入，看守所械斗的前置条件。,0.9433962264150944,0,1,0,0,0,0,0,0,1.8,0.0
