卷名,章节名,type,tag,summary,core
龙山楼黑铁令,雪鹰领,环境铺陈、人物引入,人物、设定,"龙山历9616年冬，安阳行省青河郡仪水县雪鹰领内，八岁的东伯雪鹰随父亲东伯烈（天阶骑士、男爵领主）与狮人铜三出猎，展现自幼习枪的天赋。母亲墨阳瑜（天阶法师）与两岁的弟弟东伯青石在山顶等候。一家人其乐融融，东伯烈因当年生子才买下贵族爵位与领地，并以儿子之名命名为""雪鹰领""。章末夜幕中，一头四翼秃鹫载着灰袍人与银甲男子直奔雪鹰领而来。",东伯雪鹰一家在雪鹰领的幸福生活被远方来袭的神秘威胁打破，全篇背景与人物关系铺陈。
龙山楼黑铁令,超凡,设定展开、悬念设置,伏笔、设定,东伯雪鹰夜读《十大超凡骑士》，引出骑士七级体系（人阶、地阶、天阶为普通骑士；流星、银月、称号为星辰骑士；超凡为生命层次跃迁）。墨阳瑜夫妇预感家族追查将至，彼此宽慰。四翼秃鹫抵达雪石城堡上空，银甲男子（流星骑士）从高空跃下强令墨阳瑜夫妇随行，城堡破星弩围戒备。灰袍人施展雷电法术轻易瘫痪数百守军，现身揭面——竟是墨阳瑜的兄长。,骑士境界体系与超凡设定展开，墨阳家族追兵降临，危机正式爆发。
龙山楼黑铁令,分离,转折高潮、情感展现,情感、高潮,"灰袍青年墨阳琛（银月法师）出示墨阳族谕令，判墨阳瑜""禁闭百年""、东伯烈""苦役百年""，由墨阳琛执行。雪鹰抱着弟弟哭求舅舅救助父母，墨阳琛表示族规森严无人能破。墨阳瑜将储物吊坠（内含城堡重要宝物与金币）滴血认主传给雪鹰，东伯烈交出超凡骑士留下的金箔枪法秘籍《玄冰枪法》。宗叔（六臂蛇魔宗凌）赶来，告知雪鹰""等你得到龙山楼的黑铁令，我就告诉你一切""。父母被带上四翼秃鹫离去，雪鹰立誓定要救回父母。",父母被强行带走，雪鹰立下救父母誓言，龙山楼黑铁令成为全篇核心目标。
龙山楼黑铁令,兄弟,人物心理、环境铺陈,情感、设定,"仪水城龙山楼楼主司安与白发老者游图得知东伯夫妇被抓消息，感叹墨阳家族霸道。雪石城堡内，两岁的青石因失去母亲哄睡而哭闹不止，雪鹰亲自哄弟弟入睡，宗凌、铜三担忧雪鹰从此心境大变。雪鹰向宗叔追问黑铁令获得之法，得知须""实力够强，龙山楼自会送来""。夜间雪鹰独自在书房翻开金箔秘籍。",父母被抓后兄弟相依为命，雪鹰承担起照顾弟弟与领地的责任，确立变强目标。
龙山楼黑铁令,枪法,设定展开、悟道,修炼、设定、爽点,"雪鹰翻阅金箔秘籍，银色光影乞丐老者演练《心意枪法》与《玄冰枪法》三重境界（飘雪入门、血雨有望超凡、玄冰代表超凡之路）。秘籍揭示斗气运转法门可增速出枪。雪鹰开始每日高强度修炼：负重奔跑、一千五百次刺枪、《火焰三段法》斗气法门配合、箭矢格挡练习等六环训练。回忆父亲东伯烈曾怒斥""孬种""督促训练，雪鹰红眼疯狂刺枪。",《玄冰枪法》三重境界与斗气运转法门设定展开，雪鹰以疯狂训练寄托对父亲的思念与救父母的决心。
龙山楼黑铁令,修炼,人物心理、情节推进,情感,"雪鹰日复一日高强度修炼，上午完成一千五百次刺枪后练斗气法门，下午双手刺枪两千次与箭矢格挡，一天修炼六个时辰后泡药浴恢复。两年后（约十岁），雪鹰枪法已达瓶颈，正思量是否开始练""收""劲时，女仆急报宗凌受重伤归来。",雪鹰两年苦修锤炼枪法根基，宗凌受伤引出弯刀盟威胁与领地危机。
龙山楼黑铁令,长风骑士,人物引入、设定展开,人物、设定,"宗凌带伤归来，讲述仪水县境内最强盗匪""弯刀盟""首领盖斌（流星骑士）入侵雪鹰领屠戮平民，宗凌带一营士兵追击遭盖斌偷袭，被劈三刀幸赖炼金内甲护身保命，三百士兵以破星弩逼退盖斌。铜三介绍仪水县仅四名流星骑士与一名流星大法师，盖斌因贪婪杀贵族夺宝被通缉后落草为寇，藏身毁灭山脉。宗凌提议雪鹰报考安阳行省第一学府""长风学院""（院长长风骑士池丘白为行省最强者），十岁为最后年龄界限。",弯刀盟首领盖斌背景与威胁展开，长风学院作为修行选项浮现。
龙山楼黑铁令,决定,人物心理、转折高潮,情感、高潮,"雪鹰决定不去长风学院，理由有二：舍不得年幼的弟弟青石；更关键的是，他整理一百二十五位历史超凡骑士传记数据发现，一百零九位非学院派出身，仅十六位学院派，推断""系统教导反成桎梏，独自摸索方能走出自己的超凡之路""。宗凌、铜三虽震惊却认同其推断。雪鹰提及弟弟青石过完年五岁，可测精神力看是否有法师天赋。",雪鹰以数据论证放弃学院、独自修行之路，展现超乎年龄的智慧与决断。
龙山楼黑铁令,五年后，脱胎换骨,转折高潮、设定揭示,揭示、设定、高潮,"雪鹰用母亲留下的晶球测试五岁青石精神力，晶球发出赤红色光芒，确认弟弟具备法师天赋。时间跳至五年后，雪鹰十五岁，枪法十三岁已达""人枪合一""，近年苦练欲达""全身力量圆满如一""以求成为枪法大师。然而雪鹰十岁后身体持续吸收天地力量却一直未产生斗气，身体比常人强大十倍仍在吸收。某日练枪时身体深处发痒炽热，皮肤通红生出筋膜，隐约看到一名巍峨巨人在荒凉大地仰头咆哮，随即跪地痛苦不堪。",雪鹰太古血脉觉醒，身体发生质变，生命层次跃迁的前兆显现。
龙山楼黑铁令,狼吞虎咽,转折高潮、爽点设置,爽点、高潮,雪鹰觉醒后极度饥饿，令厨房烤一整头三阶魔兽（过万斤肉）。小女仆见雪鹰赤裸背部泛红、周围十米积雪融化而震惊。雪鹰一跃而过二十米高的城堡主楼，感知自身实力飞跃。过万斤烤熟魔兽送至，雪鹰独自将整头魔兽肉连同骨头全部吞食殆尽，铜三赶来见状目瞪口呆。,雪鹰太古血脉觉醒后食量与力量的惊人展现，铜三震惊不已。
