卷名,章节名,type,tag,summary,core
炼一口飞剑,（无标题）,人物引入 | 环境铺陈,人物、设定,"秦云归家，次日夜探大哥秦安宅院，发现异样。开篇以夜探悬念快速建立""秦云强""的人设认知。","秦云归家，夜探悬念建立""低调强者""人设。"
炼一口飞剑,擒下,矛盾展现 | 转折高潮,冲突、高潮,秦云抓猫妖逼问出幕后黑手，得知妖怪盘踞地下。通过逼问引出妖怪势力的初步信息，为后续潜入斩妖做铺垫。,逼问妖怪线索，地下势力初探。
炼一口飞剑,妖怪头领'褚庸',环境铺陈 | 设定展开,设定,秦云潜入野猪妖褚庸的地下宫殿，摸清妖怪布局。地下宫殿的环境描写展现妖怪势力的盘踞规模。,褚庸地下宫殿探查，妖怪布局摸清。
炼一口飞剑,我是他的弟弟！,战斗描写 | 爽点设置,战斗、爽点,"秦云一剑斩杀褚庸及七个手下小妖，缴获星纹钢。亮明""我是他弟弟""身份——开篇立威的第一个爽点，快速建立""低调强者""人设。",一剑斩褚庸，开篇立威爽点。
炼一口飞剑,本命飞剑,设定展开 | 悟道,修炼、设定、爽点,本命飞剑基础设定交代：丹田剑丸、烟雨剑意十倍孕养速度。这是飞剑问道世界观的核心修炼设定，贯穿全书。,本命飞剑核心设定确立，烟雨剑意十倍孕养。
炼一口飞剑,二十岁前不入仙门，终生无望,人物引入 | 设定展开,人物、设定,秦云成长背景交代——十三岁人剑合一、十五岁离家、快十九岁叩仙门。大哥秦安登场对话，展现秦云的成长历程和家族背景。,秦云成长历程与修炼天赋交代。
炼一口飞剑,西山剑园,人物引入 | 环境铺陈,人物、设定,好友田波（小波波）重逢，插叙市井生活气息。西山剑园聚会，昔日同窗登场。展现秦云归家后的社交圈和市井人情。,西山剑园重逢，市井社交圈展现。
炼一口飞剑,谢霜,情感展现 | 转折高潮,情感、高潮,得知谢狂人（谢雷）死讯及其妹谢霜（尘霜）卖身燕凤楼。情感转折点，引出尘霜情义线。,谢狂人死讯与尘霜卖身，尘霜情义线引入。
炼一口飞剑,再相见,情感展现 | 人物心理,情感,秦云决意前往燕凤楼探望尘霜姑娘。重逢场景展现秦云与尘霜的旧日情谊，为后续助其脱困做铺垫。,燕凤楼重逢尘霜，旧日情谊展现。
炼一口飞剑,杀鸡儆猴,战斗描写 | 爽点设置,战斗、爽点,"燕凤楼重逢尘霜。刘琦公子当场挑衅，秦云一把将其扔下楼立威——打脸爽点，快速建立秦云""不可惹""的形象。",刘琦挑衅被打脸，杀鸡儆猴立威。
炼一口飞剑,卖身契？,设定展开 | 情感展现,情感、设定,揭示尘霜并非真卖身契，只是普通契约。尘霜坚持留青楼为报谢家仇。隐藏线索（百里家）埋下悬念。,尘霜契约真相，百里家隐藏线索埋设。
炼一口飞剑,名妓尘霜,人物引入 | 人物心理,人物、情感,江南四大才子虞白登场。秦云得知虞白对尘霜有旧日单相思之作《尘霜赋》。才子与名妓的旧日渊源为后续借力办事做铺垫。,虞白登场，《尘霜赋》渊源铺垫。
炼一口飞剑,逃不过一个'利'字,爽点设置 | 人物心理,情感、爽点,秦云用《尘霜赋》包装帮尘霜造势，以此换取虞白帮其子拜入东山观修行门派——借力办事的爽点，展现秦云的智谋。,借力办事智谋展示，尘霜造势换虞白帮忙。
